com.sec.android.pagebuddynotisvc;Samsung Page Buddy;Background Processes and Services
com.sec.android.preloadinstaller;Samsung Pre-load Installer;Google Play Updates
com.sec.android.provider.badge;Samsung Badge Provider;Background Processes and Services
com.sec.android.provider.logsprovider;Samsung Logs Provider;Background Processes and Services
com.sec.android.providers.downloads;Samsung Downloads Provider;Google Play Updates
com.sec.android.providers.security;Samsung Security Provider;Security
com.sec.android.providers.tasks;Samsung Tasks Provider;Background Processes and Services
com.sec.android.sCloudBackupApp;Samsung Cloud Backup;Storage, Backups and Transfers
com.sec.android.sCloudBackupProvider;Samsung Cloud Backup Provider;Storage, Backups and Transfers
com.sec.android.sCloudRelayData;Samsung Cloud Relay Data;Storage, Backups and Transfers
com.sec.android.sCloudSync;Samsung Cloud Sync;Storage, Backups and Transfers
com.sec.android.sCloudSyncCalendar;Samsung Cloud Calendar Sync;Storage, Backups and Transfers
com.sec.android.sCloudSyncContacts;Samsung Cloud Contacts Sync;Storage, Backups and Transfers
com.sec.android.service.cm;Samsung CM service;Background Processes and Services
com.sec.android.service.health;Samsung Health Service;Health and Fitness
com.sec.android.service.sm;Samsung SM service;Background Processes and Services
com.sec.android.widgetapp.SPlannerAppWidget;Samsung Planner Widget;Office
com.sec.android.widgetapp.activeapplicationwidget;Samsung Active App Widget;Background Processes and Services
com.sec.android.widgetapp.ap.hero.accuweather;Samsung Weather Widget;News, Weather and Magazines
com.sec.android.widgetapp.ap.yahoonews;Samsung Yahoo News Widget;News, Weather and Magazines
com.sec.android.widgetapp.ap.yahoostock.stockclock;Samsung Yahoo Stock Clock;News, Weather and Magazines
com.sec.android.widgetapp.digitalclock;Samsung Digital Clock;Tools
com.sec.android.widgetapp.dualclockdigital;Samsung Dual Digital Clock;Tools
com.sec.android.widgetapp.webmanual;Samsung Web Manual Widget;Background Processes and Services
com.sec.app.RilErrorNotifier;Samsung Error Notifier;Background Processes and Services
com.sec.app.samsungprintservice;Samsung Print Service;Office
com.sec.automation;Samsung Automation Process;Background Processes and Services
com.sec.bcservice;Samsung BC Service;Background Processes and Services
com.sec.chaton;ChatON;Communication
com.sec.dsm.phone;Samsung DSM Phone;SMS and Phone
com.sec.dsm.system;Samsung DSM System;Background Processes and Services
com.sec.enterprise.knox.attestation;Samsung Knox attestation;Background Processes and Services
com.sec.enterprise.knox.cloudmdm.smdms;Samsung Knox Cloud;Storage, Backups and Transfers
com.sec.enterprise.mdm.services.simpin;Samsung Sim Pin Service;Background Processes and Services
com.sec.enterprise.mdm.vpn;Samsung VPN Service;Background Processes and Services
com.sec.enterprise.permissions;Samsung Permissions;Background Processes and Services
com.sec.esdk.elm;Samsung esdk elm;Background Processes and Services
com.sec.factory;Samsung Factory;Background Processes and Services
com.sec.factory.camera;Samsung Camera Factory;Photography
com.sec.hearingadjust;Samsung Hearing Adjust;Tools
com.sec.knox.bridge;Samsung Knox Bridge;Background Processes and Services
com.sec.knox.knoxsetupwizardclient;Samsung Knox Setup Wizard Client;Background Processes and Services
com.sec.modem.settings;Samsung Modem Settings;Background Processes and Services
com.sec.msc.nts.android.proxy;Samsung Proxy;Background Processes and Services
com.sec.pcw;Samsung pcw;Background Processes and Services
com.sec.pcw.device;Samsung pcw Device;Background Processes and Services
com.sec.phone;Samsung Phone;SMS and Phone
com.sec.smartcard.manager;Samsung Smartcard Manager;Background Processes and Services
com.sec.spp.push;Samsung Push Service;SMS and Phone
com.sec.tcpdumpservice;Samsung TCP Dump Service;Background Processes and Services
com.sec.usbsettings;Samsung USB Settings;Settings
com.shazam.android;Shazam;Listening
com.skype.raider;Skype;Communication
com.smlds;SMLDS;Background Processes and Services
com.snapchat.android;Snapchat;Communication
com.spotify.music;Spotify;Listening
com.svox.pico;SVOX Pico Text-to-Speech;Tools
com.thetrainline;Trainline;Navigation and Travel
com.touchtype.swiftkey;Swiftkey Keyboard;Tools
com.tripadvisor.tripadvisor;TripAdvisor;Navigation and Travel
com.twitter.android;Twitter;Social Media
com.ubercab;Uber;Navigation and Travel
com.viber.voip;Viber;Communication
com.visionobjects.resourcemanager;Vision Objects Resource Manager;Background Processes and Services
com.visualit.tubeLondonCity;Tube Map London Underground;Navigation and Travel
com.vlingo.midas;Vlingo Voice Recognition;Tools
com.waze;Waze - GPS, Maps & Traffic;Navigation and Travel
com.whatsapp;WhatsApp;Communication
com.wsomacp;WSOMACP;Background Processes and Services
com.wssnps;WSSNPS;Background Processes and Services
com.wssyncmldm;WSSYNCNLDM;Background Processes and Services
flipboard.app;Flipboard;News, Weather and Magazines
jp.co.omronsoft.iwnnime.ml;Japanese IME;Tools
org.mozilla.firefox;Firefox Browser;Browsers
org.simalliance.openmobileapi.service;SIMalliance Open Mobile API;Security
org.videolan.vlc.betav7neon;VLC for Android beta;Watching
org.wikipedia;Wikipedia;Searching and Wikis
org.zwanoo.android.speedtest;Speedtest.net;Analysers
tunein.player;TuneIn Radio;Listening
uk.ac.cam.deviceanalyzer;Device Analyzer;Analysers
uk.amazon.mShop.android;Amazon Shopping;Shopping
uk.co.bbc.android.iplayerradio;BBC iPlayer Radio;Listening
uk.co.bbc.android.sportdomestic;BBC Sport;News, Weather and Magazines
uk.co.nationalrail.google;National Rail Enquiries;Navigation and Travel
uk.gov.metoffice.android;Met Office Weather;News, Weather and Magazines
